subject	im_class	role	status	basis	rdf_types	path	example	note
LeftProtein	Protein	node	guess	java:ReactomeConverter	biopax:Protein	biopax:pathwayComponent+ / biopax:left*	reactome:Protein11497	converter takes the UniProt accession from the entity reference xref
LeftDna		node	todo		biopax:Dna	biopax:pathwayComponent+ / biopax:left*	reactome:Dna100	no term/knowledge/name match - bind by hand or set role=skip
LeftRna		node	todo		biopax:Dna	biopax:pathwayComponent+ / biopax:left*	reactome:Rna100	no term/knowledge/name match - bind by hand or set role=skip
LeftPhysicalEntity		node	todo		biopax:PhysicalEntity	biopax:pathwayComponent+ / biopax:left*	reactome:PhysicalEntity267	no term/knowledge/name match - bind by hand or set role=skip
RightComplex		node	todo		biopax:Complex	biopax:pathwayComponent+ / biopax:right*	reactome:Complex5217	no term/knowledge/name match - bind by hand or set role=skip
RightSmallMolecule		node	todo		biopax:SmallMolecule	biopax:pathwayComponent+ / biopax:right*	reactome:SmallMolecule1314	no term/knowledge/name match - bind by hand or set role=skip
RightProtein	Protein	node	guess	java:ReactomeConverter	biopax:Protein	biopax:pathwayComponent+ / biopax:right*	reactome:Protein11497	converter takes the UniProt accession from the entity reference xref
RightDna		node	todo		biopax:Dna	biopax:pathwayComponent+ / biopax:right*	reactome:Dna100	no term/knowledge/name match - bind by hand or set role=skip
RightRna		node	todo		biopax:Dna	biopax:pathwayComponent+ / biopax:right*	reactome:Rna100	no term/knowledge/name match - bind by hand or set role=skip
RightPhysicalEntity		node	todo		biopax:PhysicalEntity	biopax:pathwayComponent+ / biopax:right*	reactome:PhysicalEntity267	no term/knowledge/name match - bind by hand or set role=skip
TempSmallMolecule		node	todo		biopax:SmallMolecule	biopax:pathwayComponent+ / biopax:product	reactome:SmallMolecule1314	no term/knowledge/name match - bind by hand or set role=skip
TempProtein	Protein	node	guess	java:ReactomeConverter	biopax:Protein	biopax:pathwayComponent+ / biopax:product	reactome:Protein11497	converter takes the UniProt accession from the entity reference xref
TempPhysicalEntity		node	todo		biopax:PhysicalEntity	biopax:pathwayComponent+ / biopax:product	reactome:PhysicalEntity267	no term/knowledge/name match - bind by hand or set role=skip
DegradationComplex		node	todo		biopax:Complex	biopax:pathwayComponent+ / biopax:left	reactome:Complex5217	no term/knowledge/name match - bind by hand or set role=skip
DegradationProtein	Protein	node	guess	java:ReactomeConverter	biopax:Protein	biopax:pathwayComponent+ / biopax:left	reactome:Protein11497	converter takes the UniProt accession from the entity reference xref
DegradationPhysicalEntity		node	todo		biopax:PhysicalEntity	biopax:pathwayComponent+ / biopax:left	reactome:PhysicalEntity267	no term/knowledge/name match - bind by hand or set role=skip
Catalysis		node	todo		biopax:Catalysis	biopax:pathwayOrder+ / biopax:stepProcess	reactome:Catalysis1822	no term/knowledge/name match - bind by hand or set role=skip
Control		node	todo		biopax:Control	biopax:pathwayOrder+ / biopax:stepProcess	reactome:Control111	no term/knowledge/name match - bind by hand or set role=skip
LeftSmallMoleculeReference		node	todo		biopax:SmallMoleculeReference	biopax:pathwayComponent+ / biopax:left* / biopax:entityReference	reactome:SmallMoleculeReference68	no term/knowledge/name match - bind by hand or set role=skip
LeftProteinReference	Protein	node	guess	knowledge	biopax:ProteinReference	biopax:pathwayComponent+ / biopax:left* / biopax:entityReference	reactome:ProteinReference6278	
LeftDnaReference		node	todo		biopax:DnaReference	biopax:pathwayComponent+ / biopax:left* / biopax:entityReference	reactome:DnaReference97	no term/knowledge/name match - bind by hand or set role=skip
LeftRnaReference		node	todo		biopax:RnaReference	biopax:pathwayComponent+ / biopax:left* / biopax:entityReference	reactome:RnaReference6	no term/knowledge/name match - bind by hand or set role=skip
